title,address,type,educational,workExperience,workTag,salary,salaryMouth,companyTags,hrWork,hrName,practice,companyTitle,companyAvatar,companyNature,companyStatus,companyPeople,detailUrl,companyUrl,dist
Web前端 leader,北京,web前端,本科,5-10年,"[""\u524d\u7aef\u5f00\u53d1"", ""\u540e\u7aef\u5f00\u53d1"", ""\u5168\u6808\u5f00\u53d1""]","[25000, 30000]",0薪,无,咨询顾问,陈女士咨询顾问,0,奕桐咨询,"https://img.bosszhipin.com/beijin/icon/894ce6fa7e58d64d57e7f22d2f3a9d18afa7fcceaa24b8ea28f56f1bb14732c0.png?x-oss-process=image/resize,w_100,limit_0",咨询,未融资,"[0, 20]",https://www.zhipin.com/job_detail/e48315c838c52bc10HV80tq4Elc~.html?lid=1DVLxxmwx9r.search.1&securityId=iDjaNeblhLkVi-11SfgeO6aC7f1PVIwSBAbb97lgYoz9vAcGWoMdKWvN2UROGpa8rwmEgHpNry8sfZqYQibDIoP-tyZOas33IxapeDR4En4k_ai5&sessionId=,https://www.zhipin.com/gongsi/a80f7743c89a4b510HZ53Nu6Fg~~.html,朝阳区
WEB前端 （区块链方向）,深圳,web前端,大专,5-10年,"[""HTML5"", ""Javascript"", ""JS""]","[10000, 20000]",0薪,无,总助,陈女士总助,0,深圳微付吧,"https://img.bosszhipin.com/beijin/mcs/chatphoto/20180620/47ef30e3102034e3eca68e328b24e3d3cfcd208495d565ef66e7dff9f98764da.jpg?x-oss-process=image/resize,w_100,limit_0",互联网金融,不需要融资,"[100, 499]",https://www.zhipin.com/job_detail/83537812342aea1b1XV92tm4EVQ~.html?lid=1DVLxxmwx9r.search.2&securityId=3IGDkB2dKPDxt-w1twJtJUOsSxNYQDXEy33UbOA1dYyj3mZgm1gGTTAI5VDzUCvZqp5cnlC4QB7SqtC67io3M3vkHtnhmZQaM3EHY_p9cvLFPf7B&sessionId=,https://www.zhipin.com/gongsi/a57bc9e2eebf70991nB53Ni7Fg~~.html,龙华区
Web前端 Electron+vue开发,济南,web前端,学历不限,经验不限,"[""\u524d\u7aef\u5f00\u53d1"", ""Node.js"", ""Web\u7aef"", ""PC\u7aef"", ""\u5c0f\u7a0b\u5e8f"", ""Windows\u5f00\u53d1"", """", """"]","[7000, 12000]",0薪,"[""\u80a1\u7968\u671f\u6743\uff0c\u5168\u52e4\u5956\uff0c\u4e94\u9669\u4e00\u91d1\uff0c\u5e74\u7ec8\u5956""]",hr,张女士hr,0,鼎商软件,"https://img.bosszhipin.com/beijin/mcs/chatphoto/20200825/6bec2062d30996a4a8fbc46bb7f5c339498725a10cdd9eb7bdfa5eef44613b12_s.jpg?x-oss-process=image/resize,w_100,limit_0",计算机软件,未融资,"[20, 99]",https://www.zhipin.com/job_detail/26d2ca0f1c364a711nR83t-5FlNX.html?lid=1DVLxxmwx9r.search.3&securityId=ntm3XZysvKSzy-X1T-MyoEM982in6m4poRCgTvBU2PYIhW0reGpM3we5iDS5b-C_Kbb6IYViLIT1OgBBLel559hdHlYO0jwyOTP3BH8qFE1St_bJWP5y&sessionId=,https://www.zhipin.com/gongsi/37033a47bc1996af1nV52NS1EFs~.html,历下区
web前端 亦庄 线上面试,北京,web前端,大专,3-5年,"[""React"", ""Vue"", ""\u524d\u7aef\u5f00\u53d1\u7ecf\u9a8c"", ""\u8ba1\u7b97\u673a/\u8f6f\u4ef6\u5de5\u7a0b\u76f8\u5173\u4e13\u4e1a""]","[15000, 23000]",0薪,"[""\u4e94\u9669\u4e00\u91d1\uff0c\u4ea4\u901a\u8865\u52a9\uff0c\u8282\u65e5\u798f\u5229""]",招聘专员,王女士招聘专员,0,柯莱特集团,"https://img.bosszhipin.com/beijin/mcs/chatphoto/20180411/814a09ccfe65dd4381197f6bfa1b1d23cfcd208495d565ef66e7dff9f98764da.jpg?x-oss-process=image/resize,w_100,limit_0",计算机软件,已上市,"[1000, 9999]",https://www.zhipin.com/job_detail/4b35e6511fdd1ec01XB82du0E1ZV.html?lid=1DVLxxmwx9r.search.4&securityId=jWk6lcCbtdD2X-L1gkkmY03SUDFVMmnX2TIABWV2pjYrZi_gLLV_tKOLDh2NIus32tDGlZ_yNwRxH1uLMQbZUJGu9GQaCnXyp2kdx_CsQMeKv9W6&sessionId=,https://www.zhipin.com/gongsi/879cece58f6a7e7d1XR929W0.html,大兴区
WEB前端 | 网页前端工程师,上海,web前端,学历不限,1-3年,"[""Web\u524d\u7aef"", ""HTML/CSS"", ""HTML5""]","[9000, 13000]",13薪,"[""\u8282\u65e5\u798f\u5229\uff0c\u5458\u5de5\u65c5\u6e38\uff0c\u5e74\u7ec8\u5956\uff0c\u52a0\u73ed\u8865\u52a9\uff0c\u5e26\u85aa\u5e74\u5047\uff0c\u96f6\u98df\u4e0b\u5348\u8336\uff0c\u5168\u52e4\u5956\uff0c\u4e94\u9669\u4e00\u91d1""]",首席运营官,夏先生首席运营官,0,唯秀品牌策划,"https://img.bosszhipin.com/beijin/upload/com/workfeel/20220206/7bf6f160950405e95ca7f35888a33309978736ee9f223ec6ae49eb7ce5fe6390cf4255687dd9f637.jpg?x-oss-process=image/resize,w_100,limit_0",广告营销,不需要融资,"[20, 99]",https://www.zhipin.com/job_detail/0f26996a8e5085110Xx43Ni6Fw~~.html?lid=1DVLxxmwx9r.search.5&securityId=4HvMSg2kXDVD5-N1hbwjpvk2w_ix-MPZF7IGwpkGB2FnLvrRoKbXgnzk5IDFhUkf4DAhAQAEr5KTZGzd5t_HF_iuXsyp9Mdl2Sr0cjQNgYgP&sessionId=,https://www.zhipin.com/gongsi/0947909362dff0431XV63tS9.html,闵行区
南宁 高薪诚聘 web前端 高级工程师,南宁,web前端,本科,1-3年,"[""JavaScript"", ""HTML5"", ""Vue"", ""\u8ba1\u7b97\u673a/\u8f6f\u4ef6\u5de5\u7a0b\u76f8\u5173\u4e13\u4e1a"", """", """"]","[8000, 10000]",0薪,"[""\u610f\u5916\u9669\uff0c\u5b9a\u671f\u4f53\u68c0\uff0c\u52a0\u73ed\u8865\u52a9\uff0c\u9910\u8865\uff0c\u4f01\u4e1a\u5e74\u91d1\uff0c\u591c\u73ed\u8865\u52a9\uff0c\u5168\u52e4\u5956\uff0c\u4e94\u9669\u4e00\u91d1\uff0c\u4f4f\u623f\u8865\u8d34\uff0c\u751f\u65e5\u798f\u5229\uff0c\u5305\u5403\uff0c\u8865\u5145\u533b\u7597\u4fdd\u9669\uff0c\u5e74\u7ec8\u5956\uff0c\u5e26\u85aa\u5e74\u5047\uff0c\u5458\u5de5\u65c5\u6e38\uff0c\u8282\u65e5\u798f\u5229\uff0c\u5de5\u9f84\u5956\uff0c\u8282\u5047\u65e5\u52a0\u73ed\u8d39\uff0c\u6cd5\u5b9a\u8282\u5047\u65e5\u4e09\u85aa\uff0c\u96f6\u98df\u4e0b\u5348\u8336""]",人事经理,尹先生人事经理,0,上海杜润信息科技,"https://img.bosszhipin.com/beijin/upload/com/logo/20220907/7b5b554d84f9729cd9d62d0fc1a7b2cb15496849294a62ff02d8fe9b1ae0cf815cf112bed2b58685.jpg?x-oss-process=image/resize,w_100,limit_0",电子商务,未融资,"[20, 99]",https://www.zhipin.com/job_detail/85f94b08b9ea5c1a1XB_3tu4F1JR.html?lid=1DVLxxmwx9r.search.6&securityId=gYpzie_MLXLgo-I1vPZQBeC9Tn04Bhb52kPHEn8BX200XAFANu62I2X40DD9Arl-KUPj0yi0U5Jj1plB-ZceMgskOPuGYZBN7yA8LVycI-zt87vqzOGP&sessionId=,https://www.zhipin.com/gongsi/ffa2960d5b03c49f1XR_3tm8GVM~.html,青秀区
web前端HTML5,上海,web前端,学历不限,1-3年,"[""\u524d\u7aef\u5f00\u53d1"", ""HTML"", ""\u79fb\u52a8\u7aef"", ""Web\u7aef"", ""H5""]","[10000, 15000]",0薪,"[""\u80a1\u7968\u671f\u6743\uff0c\u5458\u5de5\u65c5\u6e38\uff0c\u4e94\u9669\u4e00\u91d1\uff0c\u5e26\u85aa\u5e74\u5047\uff0c\u5e74\u7ec8\u5956\uff0c\u9910\u8865\uff0c\u4ea4\u901a\u8865\u52a9""]",研发经理,杨先生研发经理,0,溯直,"https://img.bosszhipin.com/beijin/icon/894ce6fa7e58d64d57e7f22d2f3a9d18afa7fcceaa24b8ea28f56f1bb14732c0.png?x-oss-process=image/resize,w_100,limit_0",计算机软件,A轮,"[0, 20]",https://www.zhipin.com/job_detail/87feeb883be520180HV62N6_EFM~.html?lid=1DVLxxmwx9r.search.7&securityId=ATJSJ7aF-ErEv-w1w4P0nsiowaXLawtGzLeywUYHjZZg9DlIKlsPRmAonamsPoLwXFLwus0UckymI5hDfreJFwVvda1V1A6MzXxipOsR_sWmk7LB&sessionId=,https://www.zhipin.com/gongsi/6bdf4d35108c39dc1HF929-6EQ~~.html,徐汇区
web 前端工程师,西安,web前端,本科,经验不限,"[""\u524d\u7aef\u5f00\u53d1"", ""HTML"", ""CSS"", ""JavaScript"", ""TypeScript"", ""React"", """", """"]","[13000, 26000]",0薪,"[""\u4f4f\u623f\u8865\u8d34\uff0c\u8282\u65e5\u798f\u5229\uff0c\u5b9a\u671f\u4f53\u68c0\uff0c\u4e94\u9669\u4e00\u91d1\uff0c\u96f6\u98df\u4e0b\u5348\u8336\uff0c\u5e74\u7ec8\u5956\uff0c\u514d\u8d39\u73ed\u8f66\uff0c\u9910\u8865\uff0c\u5e26\u85aa\u5e74\u5047\uff0c\u79bb\u804c\u8865\u507f\uff0c\u8865\u5145\u533b\u7597\u4fdd\u9669\uff0c\u52a0\u73ed\u8865\u52a9\uff0c\u4ea4\u901a\u8865\u52a9\uff0c\u5168\u52e4\u5956\uff0c\u5458\u5de5\u65c5\u6e38\uff0c\u901a\u8baf\u8865\u8d34\uff0c\u80a1\u7968\u671f\u6743""]",招聘主管,樊先生招聘主管,0,华为技术有限公司,"https://img.bosszhipin.com/beijin/mcs/chatphoto/20170407/e6a14e190f467455f48c850ec835ec290b8e4144bb3cfe0ff348c95cc876b511.jpg?x-oss-process=image/resize,w_100,limit_0",计算机软件,不需要融资,"[0, 10000]",https://www.zhipin.com/job_detail/b430d0042063736a1nVz09u4F1BV.html?lid=1DVLxxmwx9r.search.8&securityId=QmzmrhW9IFSXx-W1rZ_K13hgzSRjipcBty3BEKwWM5AHC9d4c9WfLt26Ir0PlxgUVlR4jNJVveAAujROqRyybNjz5Q2hRiWplDgK1-jGGiL7fjBz&sessionId=,https://www.zhipin.com/gongsi/21124e51a5ea83a80nR80ti8.html,雁塔区
WEB 前端工程师,长沙,web前端,大专,1-3年,"[""\u524d\u7aef\u5f00\u53d1"", ""HTML"", ""CSS"", ""JavaScript"", ""CSS3"", ""HTML5"", """", """"]","[8000, 13000]",13薪,"[""\u5e74\u7ec8\u5956\uff0c\u5e26\u85aa\u5e74\u5047\uff0c\u52a0\u73ed\u8865\u52a9\uff0c\u8282\u65e5\u798f\u5229\uff0c\u5b9a\u671f\u4f53\u68c0\uff0c\u5168\u52e4\u5956\uff0c\u901a\u8baf\u8865\u8d34\uff0c\u5458\u5de5\u65c5\u6e38\uff0c\u96f6\u98df\u4e0b\u5348\u8336\uff0c\u4e94\u9669\u4e00\u91d1""]",部门副经理,刘先生部门副经理,0,灰度科技,"https://img.bosszhipin.com/beijin/mcs/chatphoto/20200806/0b17aee16e5f7f2412976494a01a359fa9048955670e522b34260578c7730b11_s.jpg?x-oss-process=image/resize,w_100,limit_0",计算机软件,未融资,"[100, 499]",https://www.zhipin.com/job_detail/a46fadcc450b0ee01nx73t21FlFR.html?lid=1DVLxxmwx9r.search.9&securityId=Z230DL2lNoJlX-z1z_1rgXr5r00oU4o6MHsZLusyWfSpJgOIC-lbIdj70Iu8YlKK4rOfHgGIksRoUywRcv8GBK8TXAFhyGMRTus1l-Si5KLoLORmbnvG&sessionId=,https://www.zhipin.com/gongsi/b08e465f0e843f381nRz3ti7EVo~.html,岳麓区
Web 前端工程师,玉溪,web前端,大专,1-3年,"[""\u524d\u7aef\u5f00\u53d1"", ""HTML"", ""CSS"", ""JavaScript"", ""Less"", ""ES6"", ""Vue"", """"]","[5000, 10000]",0薪,"[""\u4e94\u9669\u4e00\u91d1\uff0c\u5168\u52e4\u5956\uff0c\u5e74\u7ec8\u5956\uff0c\u5e26\u85aa\u5e74\u5047\uff0c\u9910\u8865\uff0c\u4ea4\u901a\u8865\u52a9\uff0c\u8282\u65e5\u798f\u5229""]",人事,杨女士人事,0,永兴元,"https://img.bosszhipin.com/beijin/mcs/chatphoto/20171229/3ac366abe4ae2b854c68a935693b852feaa29aaf42805f3108d2e9cf9fdfc562.jpg?x-oss-process=image/resize,w_100,limit_0",移动互联网,不需要融资,"[100, 499]",https://www.zhipin.com/job_detail/9725b25742851ac01nZ43di-EVZR.html?lid=1DVLxxmwx9r.search.10&securityId=bsmR_pGbTKQf2-O1U0isKWhBZdFG9QnkHxJntX2tJJad055Yoa2CdZN1tyyj_5cdBEK2smL4ZfRZnc0waPoKUt3qX5PFfJaMeppvKk92xepoBUvZGyQ~&sessionId=,https://www.zhipin.com/gongsi/db65ec2ee3b4b9121nd_39u0Fw~~.html,
